pokemon,score,type_1,type_2,attack,defense,stamina,stat_product,level,fast_move,charged_move_1,charged_move_2,damage_cm_1,energy_cm_1,dpe_cm_1,damage_cm_2,energy_cm_2,dpe_cm_2,damage_fm,turns_fm,energy_fm,cd_fm,dpt_fm,ept_fm,bulk,is_dual_type
Marshtomp,81.3,water,ground,122.2,108.0,139,1834048,33.0,Mud Shot,Surf,Mud Bomb,65,-40,1.63,55,-40,1.38,3,1,9,1.0,1.5,4.5,15012.0,True
Charizard,81.2,fire,flying,135.1,106.8,115,1658635,19.5,Fire Spin,Blast Burn,Dragon Claw,110,-50,2.2,50,-35,1.43,9,2,10,1.5,3.0,3.33,12282.0,True
Granbull,81.0,fairy,none,137.2,87.1,137,1637249,22.0,Charm,Close Combat,Crunch,100,-45,2.22,70,-45,1.56,16,2,6,1.5,5.33,2.0,11932.699999999999,False
Ivysaur,81.0,grass,poison,120.0,119.3,129,1846516,35.5,Vine Whip,Power Whip,Sludge Bomb,90,-50,1.8,80,-50,1.6,5,1,8,1.0,2.5,4.0,15389.699999999999,True
Suicune (Shadow),81.0,water,none,106.9,141.3,137,2069442,18.5,Snarl,Bubble Beam,Hydro Pump,25,-40,0.63,130,-75,1.73,5,2,13,1.5,1.67,4.33,19358.100000000002,False
Charizard (Shadow),80.9,fire,flying,135.1,106.8,115,1658635,19.5,Fire Spin,Blast Burn,Dragon Claw,110,-50,2.2,50,-35,1.43,9,2,10,1.5,3.0,3.33,12282.0,True
Electivire,80.9,electric,none,144.0,98.0,109,1538496,18.0,Thunder Shock,Ice Punch,Wild Charge,55,-40,1.38,100,-45,2.22,3,1,9,1.0,1.5,4.5,10682.0,False
Gengar,80.9,ghost,poison,156.6,95.5,95,1420960,19.0,Shadow Claw,Shadow Ball,Shadow Punch,100,-55,1.82,40,-35,1.14,6,1,8,1.0,3.0,4.0,9072.5,True
Linoone,80.8,normal,none,114.9,109.5,154,1937075,38.5,Shadow Claw,Grass Knot,Thunder,90,-50,1.8,100,-60,1.67,6,1,8,1.0,3.0,4.0,16863.0,False
Castform,80.7,normal,none,114.2,118.9,144,1955147,39.5,Hex,Weather Ball (Normal),Energy Ball,60,-35,1.71,90,-55,1.64,6,2,12,1.5,2.0,4.0,17121.600000000002,False
Haunter,80.7,ghost,poison,163.3,87.0,96,1364117,28.5,Shadow Claw,Shadow Punch,Shadow Ball,40,-35,1.14,100,-55,1.82,6,1,8,1.0,3.0,4.0,8352.0,True
Steelix,80.7,steel,ground,100.1,181.9,123,2239452,22.5,Dragon Tail,Earthquake,Crunch,120,-65,1.85,70,-45,1.56,9,2,10,1.5,3.0,3.33,22373.7,True
Excadrill,80.6,ground,steel,143.2,77.7,139,1545908,17.0,Mud Shot,Drill Run,Rock Slide,80,-45,1.78,75,-45,1.67,3,1,9,1.0,1.5,4.5,10800.300000000001,True
Milotic,80.6,water,none,113.2,132.7,130,1953018,18.5,Waterfall,Surf,Blizzard,65,-40,1.63,140,-75,1.87,12,2,8,1.5,4.0,2.67,17251.0,False
Beedrill,80.5,bug,poison,128.6,103.6,130,1731686,30.5,Poison Jab,X-Scissor,Drill Run,45,-35,1.29,80,-45,1.78,6,1,7,1.0,3.0,3.5,13468.0,True
Pinsir,80.5,bug,none,141.9,113.2,98,1574251,18.5,Fury Cutter,Close Combat,X-Scissor,100,-45,2.22,45,-35,1.29,2,0,4,0.5,2.0,4.0,11093.6,False
Vaporeon,80.5,water,none,117.9,97.8,162,1868082,17.5,Water Gun,Aqua Tail,Last Resort,50,-35,1.43,90,-55,1.64,3,0,3,0.5,3.0,3.0,15843.6,False
Cherrim (Sunshine),80.4,grass,none,122.9,115.9,127,1808807,27.0,Bullet Seed,Weather Ball (Fire),Solar Beam,60,-35,1.71,150,-80,1.88,5,2,13,1.5,1.67,4.33,14719.300000000001,False
Gyarados,80.4,water,flying,132.0,105.3,122,1695047,16.0,Dragon Breath,Aqua Tail,Crunch,50,-35,1.43,70,-45,1.56,4,0,3,0.5,4.0,3.0,12846.6,True
Farfetchd (Galarian),80.3,fighting,none,137.9,99.4,117,1603044,36.5,Fury Cutter,Leaf Blade,Brave Bird,70,-35,2.0,130,-55,2.36,2,0,4,0.5,2.0,4.0,11629.800000000001,False
Gardevoir,80.3,psychic,fairy,137.2,115.6,102,1617468,18.0,Charm,Synchronoise,Shadow Ball,80,-50,1.6,100,-55,1.82,16,2,6,1.5,5.33,2.0,11791.199999999999,True
Serperior,80.3,grass,none,109.9,142.7,128,2007750,24.0,Vine Whip,Grass Knot,Aerial Ace,90,-50,1.8,55,-45,1.22,5,1,8,1.0,2.5,4.0,18265.6,False
Gastrodon (East),80.1,water,ground,115.2,101.4,166,1939485,24.0,Mud Slap,Body Slam,Earth Power,60,-35,1.71,90,-55,1.64,11,2,8,1.5,3.67,2.67,16832.4,True
Gastrodon (West),80.1,water,ground,115.2,101.4,166,1939485,24.0,Mud Slap,Body Slam,Earth Power,60,-35,1.71,90,-55,1.64,11,2,8,1.5,3.67,2.67,16832.4,True
Raichu,80.1,electric,none,135.6,108.9,112,1653365,25.0,Volt Switch,Wild Charge,Thunder Punch,100,-45,2.22,55,-40,1.38,12,3,16,2.0,3.0,4.0,12196.800000000001,False
Forretress (Shadow),80.0,bug,steel,110.4,142.2,128,2009351,24.5,Bug Bite,Earthquake,Mirror Shot,120,-65,1.85,35,-35,1.0,3,0,3,0.5,3.0,3.0,18201.6,True
Golbat,80.0,poison,flying,119.5,115.2,136,1872017,28.0,Wing Attack,Poison Fang,Shadow Ball,40,-35,1.14,100,-55,1.82,5,1,7,1.0,2.5,3.5,15667.2,True
Gligar,79.9,ground,flying,109.9,146.8,126,2033533,31.0,Fury Cutter,Night Slash,Dig,50,-35,1.43,100,-80,1.25,2,0,4,0.5,2.0,4.0,18496.800000000003,True
Raichu (Alolan),79.9,electric,psychic,136.2,111.7,107,1628654,24.5,Volt Switch,Wild Charge,Grass Knot,100,-45,2.22,90,-50,1.8,12,3,16,2.0,3.0,4.0,11951.9,True
Skuntank,79.9,poison,dark,123.0,93.9,156,1802330,23.5,Poison Jab,Crunch,Sludge Bomb,70,-45,1.56,80,-50,1.6,6,1,7,1.0,3.0,3.5,14648.400000000001,True
Grotle (Shadow),79.8,grass,none,118.3,112.5,141,1875443,29.5,Razor Leaf,Body Slam,Energy Ball,60,-35,1.71,90,-55,1.64,10,1,4,1.0,5.0,2.0,15862.5,False
Gligar (Shadow),79.6,ground,flying,109.9,146.8,126,2033533,31.0,Wing Attack,Night Slash,Dig,50,-35,1.43,100,-80,1.25,5,1,7,1.0,2.5,3.5,18496.800000000003,True
Honchkrow,79.5,dark,flying,149.4,69.3,143,1480009,20.0,Snarl,Brave Bird,Sky Attack,130,-55,2.36,75,-45,1.67,5,2,13,1.5,1.67,4.33,9909.9,True
Skuntank (Shadow),79.5,poison,dark,123.0,93.9,156,1802330,23.5,Poison Jab,Crunch,Sludge Bomb,70,-45,1.56,80,-50,1.6,6,1,7,1.0,3.0,3.5,14648.400000000001,True
Ivysaur (Shadow),79.4,grass,poison,120.0,119.3,129,1846516,35.5,Vine Whip,Power Whip,Sludge Bomb,90,-50,1.8,80,-50,1.6,5,1,8,1.0,2.5,4.0,15389.699999999999,True
Magmar (Shadow),79.4,fire,none,135.2,105.7,114,1628984,23.0,Karate Chop,Fire Punch,Flamethrower,55,-40,1.38,90,-55,1.64,5,1,8,1.0,2.5,4.0,12049.800000000001,False
Sandslash (Alolan),79.3,ice,steel,117.9,132.0,122,1897975,23.0,Powder Snow,Ice Punch,Bulldoze,55,-40,1.38,80,-60,1.33,5,1,8,1.0,2.5,4.0,16104.0,True
Sudowoodo,79.3,rock,none,116.7,128.2,126,1884689,25.5,Counter,Rock Slide,Earthquake,75,-45,1.67,120,-65,1.85,8,1,7,1.0,4.0,3.5,16153.199999999999,False
Servine,79.2,grass,none,108.3,132.0,134,1914811,40.0,Vine Whip,Grass Knot,Leaf Tornado,90,-50,1.8,45,-40,1.13,5,1,8,1.0,2.5,4.0,17688.0,False
Articuno (Shadow),79.1,ice,flying,113.2,142.5,122,1967716,18.5,Ice Shard,Icy Wind,Hurricane,60,-45,1.33,110,-65,1.69,9,2,10,1.5,3.0,3.33,17385.0,True
Ludicolo,79.0,water,grass,117.2,122.4,132,1893662,23.5,Bubble,Energy Ball,Ice Beam,90,-55,1.64,90,-55,1.64,7,2,11,1.5,2.33,3.67,16156.800000000001,True
Gallade,78.9,psychic,fighting,137.2,115.6,102,1617468,18.0,Confusion,Close Combat,Leaf Blade,100,-45,2.22,70,-35,2.0,16,3,12,2.0,4.0,3.0,11791.199999999999,True
Gloom (Shadow),78.9,grass,poison,122.6,115.6,128,1814886,37.5,Razor Leaf,Sludge Bomb,Petal Blizzard,80,-50,1.6,110,-65,1.69,10,1,4,1.0,5.0,2.0,14796.8,True
Magmortar (Shadow),78.7,fire,none,140.8,102.8,108,1563877,17.5,Karate Chop,Fire Punch,Thunderbolt,55,-40,1.38,90,-55,1.64,5,1,8,1.0,2.5,4.0,11102.4,False
Latios,78.6,dragon,psychic,140.5,112.5,101,1595527,14.0,Dragon Breath,Dragon Claw,Psychic,50,-35,1.43,90,-55,1.64,4,0,3,0.5,4.0,3.0,11362.5,True
Feraligatr,78.5,water,none,124.5,119.7,120,1788540,19.5,Water Gun,Hydro Cannon,Crunch,80,-40,2.0,70,-45,1.56,3,0,3,0.5,3.0,3.0,14364.0,False
Gallade (Shadow),78.5,psychic,fighting,137.2,115.6,102,1617468,18.0,Confusion,Close Combat,Leaf Blade,100,-45,2.22,70,-35,2.0,16,3,12,2.0,4.0,3.0,11791.199999999999,True
Grotle,78.5,grass,none,118.3,112.5,141,1875443,29.5,Razor Leaf,Body Slam,Energy Ball,60,-35,1.71,90,-55,1.64,10,1,4,1.0,5.0,2.0,15862.5,False
Grovyle,78.5,grass,none,138.4,100.1,117,1620128,38.5,Bullet Seed,Leaf Blade,Aerial Ace,70,-35,2.0,55,-45,1.22,5,2,13,1.5,1.67,4.33,11711.699999999999,False
Sandshrew (Alolan XL),78.3,ice,steel,117.6,121.0,127,1807853,50.0,Powder Snow,Night Slash,Blizzard,50,-35,1.43,140,-75,1.87,5,1,8,1.0,2.5,4.0,15367.0,True
Shelgon,78.3,dragon,none,125.6,118.0,120,1779129,27.0,Dragon Breath,Flamethrower,Twister,90,-55,1.64,45,-45,1.0,4,0,3,0.5,4.0,3.0,14160.0,False
Dusclops (Shadow),78.2,ghost,none,106.3,191.7,103,2099186,37.5,Hex,Shadow Punch,Ice Punch,40,-35,1.14,55,-40,1.38,6,2,12,1.5,2.0,4.0,19745.1,False
Prinplup,78.2,water,none,119.8,116.8,133,1860925,37.0,Bubble,Icy Wind,Hydro Pump,60,-45,1.33,130,-75,1.73,7,2,11,1.5,2.33,3.67,15534.4,False
Relicanth,78.1,water,rock,105.9,133.5,149,2105658,22.0,Water Gun,Aqua Tail,Ancient Power,50,-35,1.43,45,-45,1.0,3,0,3,0.5,3.0,3.0,19891.5,True
Victreebel (Shadow),78.1,grass,poison,136.9,92.5,129,1633406,22.5,Razor Leaf,Leaf Blade,Acid Spray,70,-35,2.0,20,-50,0.4,10,1,4,1.0,5.0,2.0,11932.5,True
Vespiquen,77.9,bug,flying,110.5,143.3,128,2028256,28.5,Fury Cutter,X-Scissor,Power Gem,45,-35,1.29,80,-60,1.33,2,0,4,0.5,2.0,4.0,18342.4,True
Hypno (Shadow),77.8,psychic,none,104.8,143.7,142,2138624,27.0,Confusion,Thunder Punch,Fire Punch,55,-40,1.38,55,-40,1.38,16,3,12,2.0,4.0,3.0,20405.399999999998,False
Probopass,77.8,rock,steel,98.1,202.5,114,2263603,27.5,Spark,Rock Slide,Thunderbolt,75,-45,1.67,90,-55,1.64,4,1,8,1.0,2.0,4.0,23085.0,True
Typhlosion,77.7,fire,none,135.1,106.8,115,1658635,19.5,Incinerate,Blast Burn,Solar Beam,110,-50,2.2,150,-80,1.88,15,4,20,2.5,3.0,4.0,12282.0,False
Roserade,77.6,grass,poison,145.4,109.7,97,1547427,18.5,Bullet Seed,Weather Ball (Fire),Grass Knot,60,-35,1.71,90,-50,1.8,5,2,13,1.5,1.67,4.33,10640.9,True
Wailord,77.6,water,none,118.5,66.8,235,1858149,24.0,Water Gun,Surf,Blizzard,65,-40,1.63,140,-75,1.87,3,0,3,0.5,3.0,3.0,15698.0,False
Pidgeot,77.5,normal,flying,118.1,113.3,141,1886409,25.5,Gust,Aerial Ace,Brave Bird,55,-45,1.22,130,-55,2.36,16,4,12,2.0,3.2,2.4,15975.3,True
Crustle,77.4,bug,rock,120.9,132.8,114,1831189,22.0,Fury Cutter,Rock Slide,X-Scissor,75,-45,1.67,45,-35,1.29,2,0,4,0.5,2.0,4.0,15139.2,True
Piloswine,77.4,ice,ground,122.4,97.5,153,1825800,24.0,Powder Snow,Avalanche,Bulldoze,90,-45,2.0,80,-60,1.33,5,1,8,1.0,2.5,4.0,14917.5,True
Seaking,77.4,water,none,124.0,104.9,139,1807638,26.0,Waterfall,Drill Run,Icy Wind,80,-45,1.78,60,-45,1.33,12,2,8,1.5,4.0,2.67,14581.1,False
Vileplume (Shadow),77.4,grass,poison,130.3,111.5,118,1715144,22.0,Razor Leaf,Sludge Bomb,Moonblast,80,-50,1.6,110,-60,1.83,10,1,4,1.0,5.0,2.0,13157.0,True
Bibarel,77.3,normal,water,125.4,95.9,149,1792338,31.0,Water Gun,Surf,Hyper Fang,65,-40,1.63,80,-50,1.6,3,0,3,0.5,3.0,3.0,14289.1,True
Glalie,77.3,ice,none,116.2,119.7,138,1919084,26.5,Ice Shard,Avalanche,Shadow Ball,90,-45,2.0,100,-55,1.82,9,2,10,1.5,3.0,3.33,16518.600000000002,False
Ho-Oh,77.3,fire,flying,124.6,127.2,113,1791064,14.5,Incinerate,Brave Bird,Earthquake,130,-55,2.36,120,-65,1.85,15,4,20,2.5,3.0,4.0,14373.6,True
Magneton (Shadow),77.3,electric,steel,144.1,114.7,93,1536728,22.0,Thunder Shock,Magnet Bomb,Discharge,70,-45,1.56,65,-45,1.44,3,1,9,1.0,1.5,4.5,10667.1,True
Electabuzz (Shadow),77.2,electric,none,132.9,113.2,111,1669548,24.0,Thunder Shock,Thunder Punch,Thunderbolt,55,-40,1.38,90,-55,1.64,3,1,9,1.0,1.5,4.5,12565.2,False
Golem (Alolan),77.2,rock,electric,126.4,120.7,116,1769231,18.5,Volt Switch,Wild Charge,Rock Blast,100,-45,2.22,50,-40,1.25,12,3,16,2.0,3.0,4.0,14001.2,True
Jirachi,77.2,steel,psychic,120.5,120.5,127,1843005,16.5,Confusion,Doom Desire,Psychic,75,-40,1.88,90,-55,1.64,16,3,12,2.0,4.0,3.0,15303.5,True
Linoone (Galarian),77.2,dark,normal,114.9,109.5,154,1937075,38.5,Snarl,Body Slam,Gunk Shot,60,-35,1.71,130,-75,1.73,5,2,13,1.5,1.67,4.33,16863.0,True
Probopass (Shadow),77.0,rock,steel,98.1,202.5,114,2263603,27.5,Spark,Rock Slide,Thunderbolt,75,-45,1.67,90,-55,1.64,4,1,8,1.0,2.0,4.0,23085.0,True
Torterra (Shadow),76.9,grass,ground,121.1,115.9,131,1838442,19.0,Razor Leaf,Frenzy Plant,Stone Edge,100,-45,2.22,100,-55,1.82,10,1,4,1.0,5.0,2.0,15182.900000000001,True
Leavanny,76.8,bug,grass,131.6,110.3,117,1697669,22.0,Razor Leaf,Leaf Blade,X-Scissor,70,-35,2.0,45,-35,1.29,10,1,4,1.0,5.0,2.0,12905.1,True
Mawile (Shadow),76.8,steel,fairy,126.3,121.6,115,1766823,39.0,Fire Fang,Power-Up Punch,Play Rough,20,-35,0.57,90,-60,1.5,8,1,5,1.0,4.0,2.5,13984.0,True
Carnivine,76.7,grass,none,132.2,101.9,126,1696965,25.5,Vine Whip,Power Whip,Crunch,90,-50,1.8,70,-45,1.56,5,1,8,1.0,2.5,4.0,12839.400000000001,False
Dusclops,76.7,ghost,none,106.3,191.7,103,2099186,37.5,Hex,Shadow Punch,Ice Punch,40,-35,1.14,55,-40,1.38,6,2,12,1.5,2.0,4.0,19745.1,False
Emolga,76.7,electric,flying,128.1,110.2,123,1735695,37.5,Thunder Shock,Discharge,Aerial Ace,65,-45,1.44,55,-45,1.22,3,1,9,1.0,1.5,4.5,13554.6,True
Talonflame,76.7,fire,flying,123.3,112.4,131,1815258,26.0,Fire Spin,Brave Bird,Flame Charge,130,-55,2.36,65,-50,1.3,9,2,10,1.5,3.0,3.33,14724.400000000001,True
Haxorus,76.6,dragon,none,152.0,96.2,100,1462937,15.5,Counter,Dragon Claw,Night Slash,50,-35,1.43,50,-35,1.43,8,1,7,1.0,4.0,3.5,9620.0,False
Genesect,76.5,bug,steel,140.0,114.4,98,1568916,16.0,Fury Cutter,X-Scissor,Magnet Bomb,45,-35,1.29,70,-45,1.56,2,0,4,0.5,2.0,4.0,11211.2,True
Graveler (Alolan),76.5,rock,electric,121.6,128.8,115,1800435,29.0,Volt Switch,Stone Edge,Rock Blast,100,-55,1.82,50,-40,1.25,12,3,16,2.0,3.0,4.0,14812.000000000002,True
Ampharos,76.4,electric,none,125.8,107.1,129,1738295,19.0,Volt Switch,Thunder Punch,Focus Blast,55,-40,1.38,140,-75,1.87,12,3,16,2.0,3.0,4.0,13815.9,False
Wormadam (Trash),76.4,bug,steel,108.6,145.9,130,2060750,37.5,Confusion,Iron Head,Bug Buzz,70,-50,1.4,90,-60,1.5,16,3,12,2.0,4.0,3.0,18967.0,True
Electrode,76.2,electric,none,124.7,126.7,114,1800418,26.0,Volt Switch,Foul Play,Thunderbolt,70,-45,1.56,90,-55,1.64,12,3,16,2.0,3.0,4.0,14443.800000000001,False
Muk (Shadow),76.2,poison,none,118.3,111.7,143,1889615,20.0,Poison Jab,Thunder Punch,Dark Pulse,55,-40,1.38,80,-50,1.6,6,1,7,1.0,3.0,3.5,15973.1,False
Swalot,76.2,poison,none,104.8,122.7,166,2134710,28.5,Infestation,Sludge Bomb,Ice Beam,80,-50,1.6,90,-55,1.64,6,2,12,1.5,2.0,4.0,20368.2,False
Gloom,76.1,grass,poison,122.6,115.6,128,1814886,37.5,Razor Leaf,Sludge Bomb,Petal Blizzard,80,-50,1.6,110,-65,1.69,10,1,4,1.0,5.0,2.0,14796.8,True
Minun,76.1,electric,none,118.0,127.3,126,1891708,37.5,Spark,Thunderbolt,Grass Knot,90,-55,1.64,90,-50,1.8,4,1,8,1.0,2.0,4.0,16039.8,False
Seismitoad,76.1,water,ground,121.6,99.6,152,1840677,22.0,Mud Shot,Earth Power,Sludge Bomb,90,-55,1.64,80,-50,1.6,3,1,9,1.0,1.5,4.5,15139.199999999999,True
Mawile,76.0,steel,fairy,126.3,121.6,115,1766823,39.0,Fire Fang,Power-Up Punch,Play Rough,20,-35,0.57,90,-60,1.5,8,1,5,1.0,4.0,2.5,13984.0,True
Rapidash (Galarian),76.0,psychic,fairy,136.3,109.6,110,1643375,21.5,Psycho Cut,Body Slam,Play Rough,60,-35,1.71,90,-60,1.5,3,1,9,1.0,1.5,4.5,12056.0,True
Victini,76.0,psychic,fire,120.5,120.5,127,1843005,16.5,Confusion,V-Create,Psychic,95,-40,2.38,90,-55,1.64,16,3,12,2.0,4.0,3.0,15303.5,True
Vileplume,76.0,grass,poison,130.3,111.5,118,1715144,22.0,Razor Leaf,Sludge Bomb,Petal Blizzard,80,-50,1.6,110,-65,1.69,10,1,4,1.0,5.0,2.0,13157.0,True
Wailmer,76.0,water,none,119.3,65.6,230,1800391,40.0,Water Gun,Body Slam,Heavy Slam,60,-35,1.71,70,-50,1.4,3,0,3,0.5,3.0,3.0,15087.999999999998,False
Bayleef,75.8,grass,none,108.3,134.4,134,1949208,40.0,Razor Leaf,Grass Knot,Ancient Power,90,-50,1.8,45,-45,1.0,10,1,4,1.0,5.0,2.0,18009.600000000002,False
Kingdra,75.8,water,dragon,122.4,124.3,119,1810502,21.0,Dragon Breath,Outrage,Octazooka,110,-60,1.83,50,-50,1.0,4,0,3,0.5,4.0,3.0,14791.699999999999,True
Litleo (XL),75.8,fire,normal,121.8,106.7,145,1885422,50.0,Ember,Flame Charge,Crunch,65,-50,1.3,70,-45,1.56,7,1,6,1.0,3.5,3.0,15471.5,True
Pachirisu,75.8,electric,none,86.1,147.8,134,1705913,40.0,Volt Switch,Thunder Punch,Thunderbolt,55,-40,1.38,90,-55,1.64,12,3,16,2.0,3.0,4.0,19805.2,False
Scizor (Shadow),75.8,bug,steel,137.7,110.5,105,1598160,18.0,Bullet Punch,Night Slash,Iron Head,50,-35,1.43,70,-50,1.4,6,1,7,1.0,3.0,3.5,11602.5,True
Conkeldurr,75.7,fighting,none,134.6,93.9,130,1642321,16.5,Counter,Dynamic Punch,Stone Edge,90,-50,1.8,100,-55,1.82,8,1,7,1.0,4.0,3.5,12207.0,False
Golduck (Shadow),75.7,water,none,125.6,110.2,128,1771088,23.0,Water Gun,Cross Chop,Ice Beam,50,-35,1.43,90,-55,1.64,3,0,3,0.5,3.0,3.0,14105.6,False
Wobbuffet,75.7,psychic,none,59.3,95.6,313,1774087,40.0,Counter,Return,Mirror Coat,130,-70,1.86,60,-55,1.09,8,1,7,1.0,4.0,3.5,29922.8,False
Charmeleon (Shadow),75.6,fire,none,128.8,106.7,127,1745457,40.0,Ember,Fire Punch,Flamethrower,55,-40,1.38,90,-55,1.64,7,1,6,1.0,3.5,3.0,13550.9,False
Dugtrio,75.5,ground,none,139.7,117.2,97,1587879,37.5,Mud Shot,Mud Bomb,Stone Edge,55,-40,1.38,100,-55,1.82,3,1,9,1.0,1.5,4.5,11368.4,False
Magneton,75.3,electric,steel,144.1,114.7,93,1536728,22.0,Thunder Shock,Discharge,Magnet Bomb,65,-45,1.44,70,-45,1.56,3,1,9,1.0,1.5,4.5,10667.1,True
Omastar (Shadow),75.3,rock,water,128.4,126.1,108,1748538,20.0,Mud Shot,Rock Slide,Rock Blast,75,-45,1.67,50,-40,1.25,3,1,9,1.0,1.5,4.5,13618.8,True
Raticate (Alolan),75.3,dark,normal,109.0,125.9,150,2057140,36.0,Quick Attack,Crunch,Hyper Fang,70,-45,1.56,80,-50,1.6,5,1,7,1.0,2.5,3.5,18885.0,True
Muk,75.2,poison,none,118.3,111.7,143,1889615,20.0,Poison Jab,Thunder Punch,Dark Pulse,55,-40,1.38,80,-50,1.6,6,1,7,1.0,3.0,3.5,15973.1,False
Victreebel,75.2,grass,poison,136.9,92.5,129,1633406,22.5,Razor Leaf,Leaf Blade,Acid Spray,70,-35,2.0,20,-50,0.4,10,1,4,1.0,5.0,2.0,11932.5,True
Scolipede,75.1,bug,poison,133.3,116.0,108,1668827,23.0,Poison Jab,X-Scissor,Sludge Bomb,45,-35,1.29,80,-50,1.6,6,1,7,1.0,3.0,3.5,12528.0,True
Bronzong,75.0,steel,psychic,112.4,150.1,118,1990892,24.5,Confusion,Psyshock,Bulldoze,70,-45,1.56,80,-60,1.33,16,3,12,2.0,4.0,3.0,17711.8,True
Magmortar,75.0,fire,none,140.8,102.8,108,1563877,17.5,Karate Chop,Fire Punch,Thunderbolt,55,-40,1.38,90,-55,1.64,5,1,8,1.0,2.5,4.0,11102.4,False
Piloswine (Shadow),75.0,ice,ground,122.4,97.5,153,1825800,24.0,Powder Snow,Avalanche,Bulldoze,90,-45,2.0,80,-60,1.33,5,1,8,1.0,2.5,4.0,14917.5,True
Spiritomb,75.0,ghost,dark,121.7,145.8,103,1827786,26.5,Sucker Punch,Shadow Ball,Ominous Wind,100,-55,1.82,45,-45,1.0,5,1,7,1.0,2.5,3.5,15017.400000000001,True
Ampharos (Shadow),74.9,electric,none,125.8,107.1,129,1738295,19.0,Volt Switch,Thunder Punch,Focus Blast,55,-40,1.38,140,-75,1.87,12,3,16,2.0,3.0,4.0,13815.9,False
Croconaw,74.9,water,none,119.4,117.1,134,1873255,36.5,Water Gun,Ice Punch,Crunch,55,-40,1.38,70,-45,1.56,3,0,3,0.5,3.0,3.0,15691.4,False
Dewott,74.9,water,none,125.2,98.2,145,1783206,33.0,Fury Cutter,Aqua Tail,X-Scissor,50,-35,1.43,45,-35,1.29,2,0,4,0.5,2.0,4.0,14239.0,False
Houndoom (Shadow),74.8,dark,fire,141.4,93.7,119,1576073,21.0,Snarl,Crunch,Flamethrower,70,-45,1.56,90,-55,1.64,5,2,13,1.5,1.67,4.33,11150.300000000001,True
Tirtouga,74.8,water,rock,117.8,127.2,125,1872864,40.0,Water Gun,Surf,Body Slam,65,-40,1.63,60,-35,1.71,3,0,3,0.5,3.0,3.0,15900.0,True
Mewtwo (Shadow),74.7,psychic,none,146.9,94.4,108,1497979,13.0,Psycho Cut,Psystrike,Thunderbolt,90,-45,2.0,90,-55,1.64,3,1,9,1.0,1.5,4.5,10195.2,False
Infernape,74.5,fire,fighting,138.0,98.6,118,1605123,20.0,Fire Spin,Close Combat,Blast Burn,100,-45,2.22,110,-50,2.2,9,2,10,1.5,3.0,3.33,11634.8,True
Drapion,74.3,poison,dark,119.1,136.9,115,1875026,22.5,Poison Sting,Crunch,Sludge Bomb,70,-45,1.56,80,-50,1.6,3,1,8,1.0,1.5,4.0,15743.5,True
Tangela,74.3,grass,none,126.3,120.3,116,1763006,24.5,Vine Whip,Grass Knot,Sludge Bomb,90,-50,1.8,80,-50,1.6,5,1,8,1.0,2.5,4.0,13954.8,False
Alakazam,74.2,psychic,none,158.1,98.0,91,1410853,18.0,Counter,Fire Punch,Shadow Ball,55,-40,1.38,100,-55,1.82,8,1,7,1.0,4.0,3.5,8918.0,False
Crawdaunt,74.2,water,dark,146.0,97.7,107,1526861,22.0,Snarl,Night Slash,Crabhammer,50,-35,1.43,85,-50,1.7,5,2,13,1.5,1.67,4.33,10453.9,True
Luxray,74.1,electric,none,138.0,97.2,119,1596886,19.0,Spark,Wild Charge,Crunch,100,-45,2.22,70,-45,1.56,4,1,8,1.0,2.0,4.0,11566.800000000001,False
Scizor,74.1,bug,steel,137.7,110.5,105,1598160,18.0,Bullet Punch,X-Scissor,Iron Head,45,-35,1.29,70,-50,1.4,6,1,7,1.0,3.0,3.5,11602.5,True
Charmeleon,74.0,fire,none,128.8,106.7,127,1745457,40.0,Ember,Fire Punch,Return,55,-40,1.38,130,-70,1.86,7,1,6,1.0,3.5,3.0,13550.9,False
Electabuzz,74.0,electric,none,132.9,113.2,111,1669548,24.0,Thunder Shock,Thunder Punch,Return,55,-40,1.38,130,-70,1.86,3,1,9,1.0,1.5,4.5,12565.2,False
Golduck,74.0,water,none,125.6,110.2,128,1771088,23.0,Water Gun,Cross Chop,Ice Beam,50,-35,1.43,90,-55,1.64,3,0,3,0.5,3.0,3.0,14105.6,False
Huntail,74.0,water,none,132.2,121.1,105,1680530,24.0,Water Gun,Aqua Tail,Crunch,50,-35,1.43,70,-45,1.56,3,0,3,0.5,3.0,3.0,12715.5,False
Luxio,74.0,electric,none,137.5,86.9,134,1601883,40.0,Spark,Wild Charge,Crunch,100,-45,2.22,70,-45,1.56,4,1,8,1.0,2.0,4.0,11644.6,False
Torkoal,74.0,fire,none,109.0,151.3,124,2044921,27.0,Fire Spin,Overheat,Earthquake,130,-55,2.36,120,-65,1.85,9,2,10,1.5,3.0,3.33,18761.2,False
Marowak,73.8,ground,none,111.4,145.3,124,2007734,31.0,Mud Slap,Bone Club,Earthquake,40,-35,1.14,120,-65,1.85,11,2,8,1.5,3.67,2.67,18017.2,False
Uxie,73.8,psychic,none,103.1,177.5,119,2178203,23.0,Confusion,Future Sight,Thunder,120,-65,1.85,100,-60,1.67,16,3,12,2.0,4.0,3.0,21122.5,False
